 Long   Lat    Vpn    Ani    Direc  
 60.25  22.75  7.916  0.160   84.5
 60.75  22.75  7.908  0.179   84.9
 61.25  22.75  7.909  0.186   85.6
 61.75  22.75  7.917  0.182   86.7
 62.25  22.75  7.935  0.167   88.0
 62.75  22.75  7.959  0.143   89.4
 63.25  22.75  7.991  0.109   90.7
 63.75  22.75  8.028  0.070   92.1
 64.25  22.75  8.060  0.031   94.5
 64.75  22.75  8.088  0.005  163.4
 65.25  22.75  8.107  0.029    1.2
 65.75  22.75  8.116  0.040    6.5
 66.25  22.75  8.117  0.041   13.4
 66.75  22.75  8.116  0.034   20.8
 67.25  22.75  8.115  0.022   33.0
 67.75  22.75  8.117  0.012   66.6
 68.25  22.75  8.124  0.022  106.7
 68.75  22.75  8.134  0.046  123.0
 69.25  22.75  8.144  0.073  132.7
 69.75  22.75  8.143  0.094  143.6
 70.25  22.75  8.121  0.114  156.9
 70.75  22.75  8.091  0.143  166.8
 71.25  22.75  8.050  0.152  177.6
 71.75  22.75  7.997  0.155    9.8
 72.25  22.75  7.971  0.130   20.4
 72.75  22.75  7.953  0.102   29.3
 73.25  22.75  7.958  0.072   40.7
