Date,Event Latitude,Event Longitude,Event Depth,Mw,Fast Axis Orientation,Delay Time,Is Null?,Station Name,Station Latitude,Station Longitude,Bidirectional Circular Average at Stations (Sadeghi-Bagherabadi et al. 2018),Average Delay Time at Stations (Sadeghi-Bagherabadi et al. 2018),The Two Best Recorded Earthquakes
24-Aug-14,-14.5976,-73.5701,101,6.8,-52.86850564,0.22,Yes,M32,36.28061,48.67955,,,
3-Apr-14,-20.268,-70.556,23,6.5,1.430252989,2.84,Yes,M32,36.28061,48.67955,,,
13-Jan-14,19.043,-66.81,20,6.4,-55.44381345,2.94,Yes,M32,36.28061,48.67955,,,
12-Oct-13,10.905,-62.315,63,6,13.47643807,1.42,No,M32,36.28061,48.67955,,,‡
15-Apr-14,-53.527,8.704,12,6.9,46.62334636,0.54,No,M33,36.35908,48.73281,,,
13-Jan-14,19.043,-66.81,20,6.4,26.59989548,1.42,Yes,M33,36.35908,48.73281,,,
18-Feb-14,14.668,-58.927,15,6.5,-63.70844061,2.9,Yes,M33,36.35908,48.73281,,,
12-Oct-13,10.905,-62.315,63,6,13.52345444,0.9,Yes,M33,36.35908,48.73281,,,‡
1-May-14,-21.454,170.355,106,6.6,12.43044123,1.68,No,M34,36.40687,48.88178,,,
1-Jan-14,-13.863,167.249,187,6.5,78.58757184,0.74,Yes,M34,36.40687,48.88178,,,†
13-Jan-14,19.043,-66.81,20,6.4,22.70224475,0.78,Yes,M34,36.40687,48.88178,,,
12-Oct-13,10.905,-62.315,63,6,23.62734119,2.68,Yes,M34,36.40687,48.88178,,,‡
13-Jan-14,19.043,-66.81,20,6.4,-43.24766998,0.9,No,M35,36.4952,48.9427,157,0.96,
18-Feb-14,14.668,-58.927,15,6.5,-3.567163546,1.02,No,M35,36.4952,48.9427,157,0.96,
